tongren 铜仁
aba 阿坝
hezhou 贺州
jinzhong 晋中
shuangyashan 双鸭山
zhoukou 周口
tianshui 天水
shanwei 汕尾
lasa 拉萨
xiangtan 湘潭
jieyang 揭阳
weifang 潍坊
liangshan 凉山
suizhou 随州
chuzhou 滁州
dehong 德宏
xingtai 邢台
qiandongnan 黔东南
taian 泰安
weihai 威海
anqing 安庆
nanning 南宁
shaoguan 韶关
luzhou 泸州
jiayuguan 嘉峪关
ningbo 宁波
leshan 乐山
erlianhaote 二连浩特
zhongshan 中山
fuxin 阜新
jincheng 晋城
guangxiyulin 玉林
nantong 南通
shaoxing 绍兴
haerbin 哈尔滨
haixi 海西
wafangdian 瓦房店
beijing 北京
yaan 雅安
anyang 安阳
huaihua 怀化
scsuining 遂宁
wuzhou 梧州
liyang 溧阳
zhangye 张掖
gsqingyang 庆阳
quanzhou 泉州
yunfu 云浮
lanzhou 兰州
xinzhou 忻州
wenzhou 温州
ganzhou 赣州
liuzhou 柳州
jilin 吉林
neijiang 内江
linzhi 林芝
guiyang 贵阳
bangbu 蚌埠
yuxi 玉溪
xinganmeng 兴安盟
zhangjiagang 张家港
zhangqiu 章丘
shanghai 上海
wulumuqi 乌鲁木齐
qingdao 青岛
diqing 迪庆
bazhong 巴中
zhongwei 中卫
pingliang 平凉
xiangyang 襄阳
tianjin 天津
nanchang 南昌
anhuisuzhou 宿州
xuancheng 宣城
nujiang 怒江
jinan 济南
fangchenggang 防城港
hengshui 衡水
wuzhong 吴忠
guangyuan 广元
liaocheng 聊城
haikou 海口
langfang 廊坊
jiaozhou 胶州
fushun 抚顺
qiqihaer 齐齐哈尔
yinchuan 银川
changdu 昌都
shannan 山南
jixi 鸡西
yanbian 延边
laiwu 莱芜
baicheng 白城
wuhu 芜湖
nanyang 南阳
xianning 咸宁
qujing 曲靖
guangzhou 广州
songyuan 松原
yangzhou 扬州
xian 西安
longyan 龙岩
chizhou 池州
liupanshui 六盘水
baishan 白山
jiujiang 九江
puer 普洱
huangshan 黄山
yibin 宜宾
changzhou 常州
chifeng 赤峰
laibin 来宾
ezhou 鄂州
jian 吉安
jiamusi 佳木斯
changde 常德
jiuquan 酒泉
changshu 常熟
gxqinzhou 钦州
xiaogan 孝感
huainan 淮南
zhuhai 珠海
sdjining 济宁
yixing 宜兴
yongzhou 永州
hengyang 衡阳
jurong 句容
daqing 大庆
shangqiu 商丘
zhaoqing 肇庆
meizhou 梅州
bijie 毕节
hefei 合肥
panjin 盘锦
rizhao 日照
zigong 自贡
jingmen 荆门
liaoyuan 辽源
chaohu 巢湖
chaoyang 朝阳
meishan 眉山
liaoyang 辽阳
loudi 娄底
shouguang 寿光
shenzhen 深圳
dali 大理
wujiang 吴江
shiyan 十堰
baotou 包头
zibo 淄博
bayannaoer 巴彦淖尔
yantai 烟台
puyang 濮阳
yangquan 阳泉
nanjing 南京
zhuzhou 株洲
linyi 临沂
ningde 宁德
chongqing 重庆
xishuangbanna 西双版纳
haidong 海东
huludao 葫芦岛
maanshan 马鞍山
wuhan 武汉
pingdu 平度
wujiaqu 五家渠
yingtan 鹰潭
chenzhou 郴州
jiangmen 江门
pingdingshan 平顶山
rikaze 日喀则
enshi 恩施
nxguyuan 固原
qiannan 黔南
dalian 大连
pingxiang 萍乡
anshan 鞍山
zhoushan 舟山
fuyang 阜阳
tieling 铁岭
alashanmeng 阿拉善盟
zunyi 遵义
jingdezhen 景德镇
xuchang 许昌
siping 四平
changchun 长春
kaifeng 开封
baoshan 保山
bozhou 亳州
shuozhou 朔州
luohe 漯河
hljgannan 甘南
nanping 南平
qitaihe 七台河
sanya 三亚
zhaotong 昭通
cangzhou 沧州
maoming 茂名
jinzhou 锦州
dongying 东营
huzhou 湖州
xuzhou 徐州
jiaozuo 焦作
lishui 丽水
panzhihua 攀枝花
linxia 临夏
quzhou 衢州
dezhou 德州
suqian 宿迁
tacheng 塔城
jimo 即墨
kuerle 库尔勒
jiaonan 胶南
gannan 甘南
huanggang 黄冈
akesu 阿克苏
heze 菏泽
laizhou 莱州
sanming 三明
hanzhong 汉中
yiwu 义乌
hangzhou 杭州
wenshan 文山
kelamayi 克拉玛依
heihe 黑河
yiyang 益阳
mudanjiang 牡丹江
huhehaote 呼和浩特
xinyang 信阳
xinyu 新余
jinchang 金昌
taiyuan 太原
suihua 绥化
tangshan 唐山
kezhou 克州
yanan 延安
zhumadian 驻马店
huangshi 黄石
jingzhou 荆州
lianyungang 连云港
lvyang 洛阳
shihezi 石河子
yichang 宜昌
penglai 蓬莱
ali 阿里
baoji 宝鸡
yueyang 岳阳
yushu 玉树
xinxiang 新乡
chaozhou 潮州
zhangzhou 漳州
qinhuangdao 秦皇岛
sdrongcheng 荣成
ziyang 资阳
simao 思茅
fujianfuzhou 福州
zhengzhou 郑州
baiyin 白银
honghe 红河
tonghua 通化
tulufan 吐鲁番
lvliang 吕梁
yichun 伊春
kashi 喀什
guangan 广安
dongguang 东莞
chengdu 成都
yancheng 盐城
xianyang 咸阳
hulunbeier 呼伦贝尔
changzhi 长治
jiaxing 嘉兴
jiangyin 江阴
nanchong 南充
tongchuan 铜川
tongliao 通辽
handan 邯郸
fuzhou 抚州
rushan 乳山
changsha 长沙
kunshan 昆山
taicang 太仓
naqu 那曲
shanglv 商洛
longnan 陇南
hechi 河池
deyang 德阳
weinan 渭南
zjfuyang 富阳
huizhou 惠州
xining 西宁
hami 哈密
taizhou 台州
anshun 安顺
hainan 海南
baoding 保定
wuxi 无锡
dazhou 达州
shizuishan 石嘴山
huangnan 黄南
guolv 果洛
linan 临安
chengde 承德
gdqingyuan 清远
aletai 阿勒泰
zaozhuang 枣庄
chuxiong 楚雄
wendeng 文登
ankang 安康
yulin 榆林
putian 莆田
zhangjiajie 张家界
lijiang 丽江
zhanjiang 湛江
xiamen 厦门
haibei 海北
jxyichun 宜春
beihai 北海
sdzhaoyuan 招远
dandong 丹东
datong 大同
guilin 桂林
xiangxi 湘西
hetian 和田
guigang 贵港
ganzi 甘孜
wuwei 武威
daxinganling 大兴安岭
linfen 临汾
huaian 淮安
shenyang 沈阳
haimen 海门
qianxinan 黔西南
lincang 临沧
yingkou 营口
jstaizhou 泰州
foshan 佛山
liuan 六安
benxi 本溪
hebi 鹤壁
jinhua 金华
suzhou 苏州
shaoyang 邵阳
sxyuncheng 运城
wuhai 乌海
shantou 汕头
sanmenxia 三门峡
changji 昌吉
mianyang 绵阳
zhangjiakou 张家口
zhenjiang 镇江
xjbozhou 博州
xilinguole 锡林郭勒
hegang 鹤岗
eerduosi 鄂尔多斯
heyuan 河源
huaibei 淮北
jintan 金坛
shijiazhuang 石家庄
yangjiang 阳江
shangrao 上饶
dingxi 定西
binzhou 滨州
kunming 昆明
chongzuo 崇左
laixi 莱西
tongling 铜陵
